Seed,Score,Potential_Score,Commands_Sent,Failures,Tasks_Completed,Remaining_Sites,Remaining_Resources,Actor_Idle_Time,Ticks,Time_to_Run
1648224838,331.95785174461247,331.95785174461247,712,0,6,0,3,45:2252;46:1359;47:1357;,11812,7.040873766876757
1648224838,331.95785174461247,331.95785174461247,712,0,6,0,3,45:2252;46:1359;47:1357;,11812,7.032142461743206
1648224838,331.95785174461247,331.95785174461247,712,0,6,0,3,45:2252;46:1359;47:1357;,11812,7.04101545503363
1648224816,196.9242586565943,387.87668145308254,611,0,3,1,10,41:5230;42:3290;43:4716;,14400,43.252259134780616
1648224845,352.74367163790066,352.74367163790066,727,0,6,0,0,42:3093;43:1048;44:3290;,12586,15.080332288052887
1648224845,352.74367163790066,352.74367163790066,727,0,6,0,0,42:3093;43:1048;44:3290;,12586,15.113939336966723
1648224845,352.74367163790066,352.74367163790066,727,0,6,0,0,42:3093;43:1048;44:3290;,12586,16.087054470088333
1648224845,352.74367163790066,352.74367163790066,727,0,6,0,0,42:3093;43:1048;44:3290;,12586,16.084911786951125
1648224845,352.74367163790066,352.74367163790066,727,0,6,0,0,42:3093;43:1048;44:3290;,12586,16.090451647993177
1648224845,352.74367163790066,352.74367163790066,727,0,6,0,0,42:3093;43:1048;44:3290;,12586,19.1052236398682
1648224861,258.5699086580362,258.5699086580362,623,0,6,0,0,41:1064;42:2875;43:7295;,14210,12.067022919189185
1648224861,258.5699086580362,258.5699086580362,623,0,6,0,0,41:1064;42:2875;43:7295;,14210,13.072409593034536
1648224861,258.5699086580362,258.5699086580362,623,0,6,0,0,41:1064;42:2875;43:7295;,14210,15.074136168230325
1648224859,0,377.1366515487047,276,0,0,2,11,44:9439;45:8769;46:11426;,14400,17.097696112003177
1648224843,190.0641625643687,332.69007103741404,652,0,3,1,6,37:4656;38:1691;39:3664;,14400,35.20571160828695
1648224864,105.392425758484,369.1620446288415,423,0,2,1,8,41:7045;42:7360;43:92;,14400,20.1147410008125
1648224860,267.06880296065447,305.696219958624,673,0,5,0,12,39:4436;40:2210;41:5624;,14400,27.157311039045453
1648224860,267.06880296065447,305.696219958624,673,0,5,0,12,39:4436;40:2210;41:5624;,14400,29.16951682511717
1648224873,162.19199598333685,360.85596555810116,644,0,3,2,7,40:2403;41:2474;42:6245;,14400,17.09833385143429
1648224874,65.56921938165306,299.5890621381066,344,0,1,2,4,44:8316;45:8402;46:569;,14400,18.100742157083005
1648224888,116.14767617542165,307.1000989719099,469,0,3,1,6,41:7402;42:5872;43:603;,14400,15.08567955577746
