Seed,Score,Potential_Score,Commands_Sent,Failures,Tasks_Completed,Remaining_Sites,Remaining_Resources,Actor_Idle_Time,Ticks,Time_to_Run
1646968522,155.56921938165306,345.63338194602176,1243,0,3,9,158,43:565;44:581;45:448;,14400,16.094419369008392
1646968552,155.59316238578833,304.32622867935106,1166,0,3,11,95,42:520;43:510;44:479;,14400,12.071378977037966
1646968555,135.0,312.00598001651895,1122,0,3,8,117,43:587;44:479;45:365;,14400,15.090830667410046
1646968577,110.1056492955932,366.1637213876746,1387,0,2,10,115,49:591;50:682;51:510;,14400,14.082472611684352
1646968571,45.0,339.82317609038824,1309,0,1,15,187,46:596;47:618;48:506;,14400,20.11722093494609
1646968616,0,360.4473659792039,1113,0,0,10,134,39:466;40:490;41:488;,14400,12.076182765886188
1646968616,0,360.4473659792039,1113,0,0,10,134,39:466;40:490;41:488;,14400,13.07252247305587
1646968642,0,389.15282228519266,1107,0,0,8,122,43:536;44:463;45:387;,14400,14.075115647166967
1646968643,45.0,318.2280094762784,1463,0,1,19,169,48:755;49:641;50:572;,14400,20.12191218882799
1646968663,38.62741699796952,297.6923831826435,1300,0,1,18,184,50:568;51:548;52:633;,14400,23.142364860977978
1646968673,0,334.2585018672286,1172,0,0,12,213,41:471;42:558;43:475;,14400,25.155914224218577
1646968695,83.62741699796952,291.3069260715015,1393,0,2,21,216,42:607;43:576;44:676;,14400,26.163681666832417
1646968710,58.4828726939094,311.1623817674414,1103,0,1,11,100,43:454;44:426;45:549;,14400,13.07391032204032
1646968736,83.62741699796952,313.5951373924179,1522,0,2,15,127,42:846;43:578;44:569;,14400,15.08576477970928
1646968739,0,340.0137372156995,1149,0,0,9,112,42:506;43:500;44:457;,14400,17.098423219285905
1646968766,51.622776601683796,341.21711037379646,1434,0,1,20,148,41:629;42:801;43:479;,14400,16.09551675710827
1646968771,132.00598001651898,388.5069032157536,1332,0,2,10,126,43:646;44:531;45:543;,14400,13.072782691102475
1646968793,168.81477258502065,334.3777871504643,1303,0,3,8,68,48:680;49:530;50:468;,14400,11.075611401814967
