Seed,Score,Potential_Score,Commands_Sent,Failures,Tasks_Completed,Remaining_Sites,Remaining_Resources,Actor_Idle_Time,Ticks,Time_to_Run
1647005219,45.0,337.64061406506505,299,0,1,1,12,48:9921;49:10243;50:11378;,14400,78.78319508675486
1647005329,178.09475019311125,341.9700486455047,558,0,3,1,18,40:6858;41:5770;42:7901;,14400,19.20378187811002
1647005378,143.88893444003594,306.5684435135679,426,0,3,1,14,48:8644;49:8875;50:9999;,14400,42.56060309102759
1647005294,65.56921938165306,396.86436906346876,255,0,1,0,17,43:11612;44:11144;45:10475;,14400,220.56957451812923
1647005534,247.30667619325638,247.30667619325638,452,0,6,0,6,44:761;45:1073;46:508;,4887,7.040854827966541
1647005649,342.5723512530146,342.5723512530146,645,0,6,0,0,44:3644;45:1378;46:2107;,9824,43.37448423868045
1647048179,338.54703525827813,338.54703525827813,707,0,6,0,6,39:2118;40:2463;41:1620;,10791,24.283572568092495
1647048179,338.54703525827813,338.54703525827813,707,0,6,0,6,39:2118;40:2463;41:1620;,10791,26.284850728698075
1647048229,0,345.657324950157,204,0,0,0,28,47:12703;48:9521;49:11762;,14400,376.29276070091873
1647048229,0,345.657324950157,204,0,0,0,28,47:12703;48:9521;49:11762;,14400,375.33470068639144
1647048663,135.0,317.9778158766251,440,0,3,1,10,44:8012;45:8729;46:9998;,14400,17.310680240858346
1647048690,334.91729504577916,334.91729504577916,666,0,6,0,8,41:1538;42:5760;43:3446;,12150,53.77292867843062
1647048690,334.91729504577916,334.91729504577916,666,0,6,0,8,41:1538;42:5760;43:3446;,12150,55.77437059069052
1647048771,334.2585018672286,334.2585018672286,603,0,6,0,3,47:1808;48:2910;49:2372;,8416,27.652669738046825
1647048805,369.0711159937348,369.0711159937348,755,0,6,0,8,46:4172;47:3024;48:2788;,12279,59.684466157108545
1647048805,369.0711159937348,369.0711159937348,755,0,6,0,8,46:4172;47:3024;48:2788;,12279,58.87829206092283
